link,sumber
https://rentak.id/damri-buka-rute-baru-tanjung-barat-bandara-soekarno-hatta-tarif-promo-rp80-000/,rentak.id
https://www.kabarbumn.com/trending/115982766/ke-bandara-soekarno-hatta-naik-damri-kini-bisa-dari-thamrin-city-sedang-ada-promo-tiket-hanya-rp60-ribu-saja,kabarbumn.com
https://kabarsdgs.com/hot-news/2025/02/15166/hore-promo-sebulan-layanan-damri-dari-dan-menuju-bandara-soekarno-hatta/,kabarsdgs.com
https://www.idntimes.com/business/economy/persiapan-arus-balik-catat-jadwal-operasi-bus-damri-bandara-soetta-00-3m8tp-z69kxb,idntimes.com
https://www.sekitarbandung.com/damri-buka-rute-langsung-bandung-soetta/,sekitarbandung.com
https://www.kanalkalimantan.com/damri-buka-rute-bandara-syamsudin-noor-tugu-km-0-banjarmasin/,kanalkalimantan.com
https://www.beritatrans.com/artikel/254999/Akses-Mudah-dan-Murah-ke-Bandara-Soetta-DAMRI-Buka-Rute-Baru-dari-Tanjung-Barat/,beritatrans.com
https://finance.detik.com/berita-ekonomi-bisnis/d-7975951/tiket-damri-rute-akap-diskon-rp-50-000-cek-di-sini-cara-dapatnya,detik.com
https://www.tempo.co/ekonomi/syarat-dan-cara-dapat-promo-diskon-tiket-damri-20-persen-1344279,tempo.com
https://www.kompas.tv/lifestyle/571374/damri-buka-rute-bandung-yogyakarta-pp-harga-tiket-mulai-rp190-000,kompas.com
https://otomotif.kompas.com/read/2025/05/02/162100515/bus-damri-buka-rute-yogyakarta-bali-tarif-mulai-rp-300.000,kompas.com
https://www.liputan6.com/bisnis/read/6151685/jelang-libur-panjang-maulid-nabi-load-factor-bus-akap-damri-capai-69&ved=2ahUKEwi6_-ipsu6PAxV8LdAFHfiFGB4QxfQBegQIBxAC&usg=AOvVaw14PhB2At81elBNI6hAMMKX,liputan6.com
https://www.bantenraya.com/kota-serang/15608420/jadwal-dan-tarif-damri-perintis-dari-kota-serang-tujuan-baduy-dan-carita-tanpa-transit&ved=2ahUKEwi6_-ipsu6PAxV8LdAFHfiFGB4QxfQBegQIBhAC&usg=AOvVaw1PEfCoDdcjlE_XE6Wvh4C3,bantenraya.com
https://www.bantenraya.com/kota-serang/15590586/tak-hanya-tujuan-bandara-soetta-damri-kini-layani-berbagai-rute-akap-dari-kota-serang&ved=2ahUKEwi6_-ipsu6PAxV8LdAFHfiFGB4QxfQBegQIBBAC&usg=AOvVaw1Ipl46WWUyJhWnCDfomdSE,bantenraya.com
https://news.detik.com/berita/d-7827886/promo-tiket-damri-10-untuk-arus-balik-lebaran-2025-ini-rute-dan-syaratnya,detik.com
https://otomotif.kompas.com/read/2025/06/05/074200215/ada-diskon-spesial-damri-untuk-idul-adha-dan-liburan-sekolah,kompas.com
https://otodriver.com/mobility/bus/2025/yogyakarta-denpasar-rute-damri-yang-lagi-hits-segini-biaya-perjalanannya-yogebiffnya,otodriver.com
